User,Repo,Size (KB),Number of Contributors
544,jsfSampleCode,620,1
0x4E0x650x6F,jackson-core,1356,5
0x4E0x650x6F,Spring-data-Sample,96,1
0x4E0x650x6F,springIntegration-json,124,1
0x4E0x650x6F,spring-portal,104,1
52North,ArcGIS-Server-SOS-Extension,1339,1
52North,CSWLoDEnabler,397,2
52North,FlickrMetaCrawlr,258,1
5db,ironman,168,1
6a209,android-rss,64,3
9apps,elasticsearch-cloudwatch,175,3
a289459798,thrift-java,289,1
aaruff,MultiClient,4459,1
aaruff,MultiCommon,1465,1
aaruff,MultiServer,2506,1
aauren,mule-transport-amqp,1373,9
abhikc,jersey-passbook,122,1
abid-khan,depth-wise-json-serializer,164,1
abid-khan,environment-specific-build,160,1
abid-khan,learning,152,2
abid-khan,poc-spring-data-jpa-envers-integration,148,1
abid-khan,spring-akka-email,136,1
abid-khan,spring-hazelcast-integration,168,2
Acidity,Vanilla,10523,46
a-covar,elasticsearch,80,113
ada87,xdbox,812,1
adachic,msgpack-java,1344,5
Adamki11s,Bukkit,80,93
adamvduke,AppEngine_Common,545,1
adamvduke,JavaUtils,100,1
adaptivui,bandit,70,1
addisaden,tictactoe-java,156,1
adjohnson916,accessor-SpEL,171,1
adorsys,forge.adorsystools,160,1
adorsys,forge.server,128,1
adrian0cg,lettuce,186,1
aduros,pythagoras,1380,4
AeroNotix,ghprb-plugin,610,49
aerouk,Bukkit-JavaDoc,5220,123
afirel,trigram_regex_search,560,1
aflag,rps-sign,115,2
afmckinney,appengine-guestbook-java,78,4
AgentK20,Denizen,8991,11
AgentK20,YawTest,108,1
AgentTroll,Bukkit,4037,98
AgentTroll,TrollCommons,7381,1
agrison,johm,2819,4
agrison,jssg,1262,2
agrison,jtoml,359,4
agrison,legacy4j,144,1
ahagbuje,spring-mvc-chat,285,3
a-henning,DicomFusion,3728,1
ahmadassaf,Balloon,12587,2
ahmadassaf,CommaFeed-RSS-Reader,8539,69
ahmadassaf,DBpedia-Lookup,648,7
aindigo,es_tests,140,1
aisrael,ccdb,116,1
aisrael,jcombinatorics,426,1
aisrael,junit,4656,7
aisrael,junit-rules,1102,1
aisrael,swing-revival,224,1
a-iv,android-rss,198,2
ajaykoppisetty,acra,3429,8
AjayKumarR,fortressdemo1,384,2
AjayKumarR,gaeshiro,1527,1
AjayKumarR,PlexRBAC,292,1
ajf8,seam-booking-ogm,4052,1
akarpe,openshift-demo,132,1
akiwarheit,java-security-lib,156,1
akkumar,async-http-client,4740,22
akkumar,hbasene,10598,1
akkumar,jreversepro,771,0
akkumar,LittleProxy,1018,10
akkumar,riak-java-client,5358,18
akshayaaradhya,storm-pattern,1588,4
akshaykarle,dropwizard-snapci-sample,185,2
akshayv,Hout-ServerSide,388,5
alegrm,pignlproc,989,2
alexeyr,labs-paxexam-karaf-bundle-reference-test,88,1
AlfioEmanueleFresta,socket.io-client.java,694,4
almagest14,jdbc-template-one-to-many,108,1
almagest14,nomats,142,1
almagest14,spring-ex01,172,1
almagest14,spring-ex04,168,1
almagest14,spr-mvc-hib,184,1
almagest14,thymeleaf-custom-layout,120,1
almagest14,thymeleafexamples-petclinic,1215,8
amb-enthusiast,BayesianHack,476,1
amb-enthusiast,GeoDataObjects,156,1
amb-enthusiast,GeoNamesIO,120,1
amb-enthusiast,ReportDataObjects,174,1
amb-enthusiast,ReportParser,116,1
amb-enthusiast,TermFreqProcessor,116,1
ammachado,concurrent-batch-framework-java,152,1
ammachado,dynjs,7647,21
ammachado,Jasper-report-maven-plugin,196,2
ammachado,jPopulator,570,2
ammachado,liquibase-hibernate,64,2
amsz,JCIP,169,1
amsz,mongomongo,7490,1
anandswarupv,BDDUsingCucumber,8356,1
anandswarupv,LowestPriceFinder,463,1
anandswarupv,SpamDetector,248,1
andersonkmi,CRLServer,1036,0
andersonkmi,DataStructuresTraining,168,1
andersonkmi,DBMigrateTool,652,1
andersonkmi,EJBCAWebServiceClient,190,0
andersonkmi,JFileSysMonitor,136,0
andersonkmi,jldaplib,300,1
andreiribas,cdi-owb-jpa2-example,144,1
andreiribas,cdi-weld-jpa2-example,144,1
andreiribas,ejb31-async-method-in-same-object-example,140,1
andreiribas,ejb31-jndi-resource-manager-in-postconstruct-example,164,1
andreiribas,junit-examples,2128,1
andreiribas,many-to-many-unidirectional-jpa-postgres-example,176,1
andreiribas,simple-jndi-container,132,1
andreiribas,weblogic12c-arquillian-integration-example,132,1
andre-l-github,java-example-purchaseorder,148,1
andrewgross,elasticsearch-cloud-aws,162,10
andrewsf,starql,427,5
andrexterz,reqweb,2212,1
AndreyVMarkelov,crowd-ldap-plugin,132,2
AndreyVMarkelov,DocxQrMarker,108,0
andriikravets,site-status-checker,160,0
AndroidUnited,git-plugin,3196,83
andykram,presto-hadoop-cdh4,290,3
andykram,secor,371,2
aneeshpu,DbDepPopulator,813,1
aneeshpu,saxtodom,112,1
angeloh,aws-sdk-for-java-on-gae,5263,3
angeloh,gae-java-libpusher,1329,0
angrycamel,ivydav,132,1
anilkmirge,OPENDynamics,8956,1
anirudh708,unit-api,1953,3
Anjineyulu,traffic-rss-ha,64,1
anmijay,elfinder-servlet,77,1
anthony-o,FluentLenium,628,6
antonyraj,spring-petclinic,771,6
antonyraj,Spring-Security-Authorization-Annotation,70,1
antonyraj,Spring-Security-Multi-Auth-Manager-Test,80,1
AnujaK,restfiddle,9843,17
aosullivan,wordcount_hadoop_java,192,1
apetro,cas-addons,1906,4
apetro,JSONassert,1317,8
apetro,overriding-autowired,140,1
arashi01,jboss-dmr,202,4
arashi01,jsr354-ri,1983,8
