41407-BulletRo,41407-BulletRog,None
540444923-open-replicato,540444923-open-replicator,None
ada87-juni,ada87-junit,None
adorsys-aerogear-unifiedpush-serve,adorsys-aerogear-unifiedpush-server,None
AgentTroll-Triden,AgentTroll-Trident,None
AgentTroll-TridentSD,AgentTroll-TridentSDK,None
akiwarheit-ambo,akiwarheit-ambot,None
alemedeiros-ecs610-c,alemedeiros-ecs610-cw,None
alexfrndz-devkit-documentation-connecto,alexfrndz-devkit-documentation-connector,None
alexfrndz-devkit-documentation-rest-jerse,alexfrndz-devkit-documentation-rest-jersey,None
alexfrndz-digitalocea,alexfrndz-digitalocean,None
alexfrndz-splunk-connecto,alexfrndz-splunk-connector,None
AlexP9712-Bukki,AlexP9712-Bukkit,None
alex-savchuk-sauce-grid-plugi,alex-savchuk-sauce-grid-plugin,None
anantoni-java8-plugin-persitent-local-var,anantoni-java8-plugin-persitent-local-vars,None
anirudh708-uom-s,anirudh708-uom-se,None
archeus-Aggregato,archeus-Aggregator,None
aronshen-smar,aronshen-smart,None
ArvinH-elasticsearch.dem,ArvinH-elasticsearch.demo,None
asaushkin-dbreplicator,asaushkin-dbreplicator2,None
asciiphil-Umbr,asciiphil-Umbra,None
avantgarde-labs-elasticsearch-river-wikipedi,avantgarde-labs-elasticsearch-river-wikipedia,None
ayato0211-tddbc-vending-machine-2013011,ayato0211-tddbc-vending-machine-20130113,None
b3log-b3log-symphony-i,b3log-b3log-symphony-im,None
badrij-dropwizard-snapci-sampl,badrij-dropwizard-snapci-sample,None
barkhorn-stateless4,barkhorn-stateless4j,None
basavesht-getting-started-springsecurity-3,basavesht-getting-started-springsecurity-31,None
basavesht-spring-one-201,basavesht-spring-one-2012,None
bhaskarvk-avro-mapreduc,bhaskarvk-avro-mapreduce,None
bhaskarvk-flume-ng-cassandra-sin,bhaskarvk-flume-ng-cassandra-sink,None
bhaskarvk-flume-ng-rabbitm,bhaskarvk-flume-ng-rabbitmq,None
bhaskarvk-odiago-avr,bhaskarvk-odiago-avro,None
bhaskarvk-transport-zerom,bhaskarvk-transport-zeromq,None
blouerat-Jastermind42_serve,blouerat-Jastermind42_server,None
Blue-Dog-Archolite-cle,Blue-Dog-Archolite-cleo,None
BooZaToX-TextSecure-Serve,BooZaToX-TextSecure-Server,None
bretkikehara-MockTomcatConnectionPoo,bretkikehara-MockTomcatConnectionPool,None
briann-bnote,briann-bnotes,None
btnrouge-bbsreade,btnrouge-bbsreader,None
btnrouge-catapul,btnrouge-catapult,None
btnrouge-catapult-jdk,btnrouge-catapult-jdk8,None
btnrouge-gfversion,btnrouge-gfversions,None
btnrouge-glassfish-tool,btnrouge-glassfish-tools,None
btnrouge-growslowl,btnrouge-growslowly,None
btnrouge-libki,btnrouge-libkit,None
btnrouge-poortoy,btnrouge-poortoys,None
btnrouge-spreadshee,btnrouge-spreadsheet,None
btnrouge-standstil,btnrouge-standstill,None
btnrouge-voyager-basi,btnrouge-voyager-basis,None
butlermh-crawler-common,butlermh-crawler-commons,None
butlermh-play-pure-maven-plugi,butlermh-play-pure-maven-plugin,None
cajetan-BitHu,cajetan-BitHub,None
carlosb1-jna-exampl,carlosb1-jna-example,None
carlosb1-mau,carlosb1-maul,None
carlosb1-org.hous,carlosb1-org.house,None
chenrui1988-ca_cente,chenrui1988-ca_center,None
chenrui1988-jackson-cor,chenrui1988-jackson-core,None
ciandt-dev-objectify-insigh,ciandt-dev-objectify-insight,None
CindyBerghuizen-itude-mobile-web-uti,CindyBerghuizen-itude-mobile-web-util,None
cmdematos-javassis,cmdematos-javassist,None
critium-cargote,critium-cargotel,None
daithiocrualaoich-Optio,daithiocrualaoich-Option,None
damnhandy-async-http-clien,damnhandy-async-http-client,None
damnhandy-jackson-cor,damnhandy-jackson-core,None
damnhandy-jetty-eventsource-servle,damnhandy-jetty-eventsource-servlet,None
damnhandy-wine-cellar-jav,damnhandy-wine-cellar-java,None
danlangford-mongo-java-drive,danlangford-mongo-java-driver,None
darrenleeweber-ontologies_api_java_clien,darrenleeweber-ontologies_api_java_client,None
datariot-fullcontact4,datariot-fullcontact4j,None
decitrig-MechaTabl,decitrig-MechaTable,None
DenniJensen-BachelorThesi,DenniJensen-BachelorThesis,None
dfrankow-tweetStream4,dfrankow-tweetStream4J,None
dhamoh-hello-eclipseco,dhamoh-hello-eclipsecon,None
DomWilliams0-Bukkit-JavaDo,DomWilliams0-Bukkit-JavaDoc,None
dooman87-ImageBulwa,dooman87-ImageBulwar,None
DziNeIT-flow-engin,DziNeIT-flow-engine,None
empinator-groovy-plugi,empinator-groovy-plugin,None
eroispaziali-bookmarkfm-java-ap,eroispaziali-bookmarkfm-java-api,None
Ethico-spring-mvc-showcas,Ethico-spring-mvc-showcase,None
Ethico-thymeleafexamples-petclini,Ethico-thymeleafexamples-petclinic,None
exosocial-exo.social.clien,exosocial-exo.social.client,None
ExPixel-Manga-Librar,ExPixel-Manga-Library,None
f24-ag-control-clien,f24-ag-control-client,None
fabiosvm-jInstagra,fabiosvm-jInstagram,None
fabiosvm-Journal.I,fabiosvm-Journal.IO,None
fmeyer-jesqu,fmeyer-jesque,None
froland-round-conten,froland-round-content,None
gaivoronsky-spring-3.1-profiles-jav,gaivoronsky-spring-3.1-profiles-java,None
gaivoronsky-spring-mvc-cha,gaivoronsky-spring-mvc-chat,None
gaivoronsky-spring-petclini,gaivoronsky-spring-petclinic,None
GENGSHUANGs-dt,GENGSHUANGs-dtl,None
GerardSoleCa-jmustach,GerardSoleCa-jmustache,None
germanmoyano09-Programacion2Fina,germanmoyano09-Programacion2Final,None
grajib23-JAvroPhoneti,grajib23-JAvroPhonetic,None
hechuangqiang-dataMonite,hechuangqiang-dataMoniter,None
holmes-animated-gif-lib-for-jav,holmes-animated-gif-lib-for-java,None
holmes-maven-android-plugi,holmes-maven-android-plugin,None
hunts-shec-hackathon-201,hunts-shec-hackathon-2014,None
ifloresc-test-drool,ifloresc-test-drools,None
IJoshFTW-BattleOfKing,IJoshFTW-BattleOfKings,None
iPROFS-nl.iprofs.modules.context-loggin,iPROFS-nl.iprofs.modules.context-logging,None
iPROFS-nl.iprofs.util.portlet.junit-mockito-portlet-tes,iPROFS-nl.iprofs.util.portlet.junit-mockito-portlet-test,None
iskp-multi-thread-contex,iskp-multi-thread-context,None
jackdbernier-fsrive,jackdbernier-fsriver,None
jadianes-PrideXmlMerg,jadianes-PrideXmlMerge,None
jamesdbloom-vertx-tes,jamesdbloom-vertx-test,None
jaydm-consignment-to-ed,jaydm-consignment-to-edi,None
jaydm-ng-pal,jaydm-ng-palm,None
jaydm-sjWe,jaydm-sjWeb,None
jbelgamazzi-redis-inde,jbelgamazzi-redis-index,None
jbn-jGDEL,jbn-jGDELT,None
jbn-ME,jbn-MEL,None
jcalonsoh-java-gitlab-ap,jcalonsoh-java-gitlab-api,None
jconnolly-bank-kat,jconnolly-bank-kata,None
jean-merelis-object-formatte,jean-merelis-object-formatter,None
Jessy1237-Bukki,Jessy1237-Bukkit,None
jjerrodtaylor-encog-java-cor,jjerrodtaylor-encog-java-core,None
jnorthr-asciidocle,jnorthr-asciidoclet,None
johnament-cdifo,johnament-cdifoo,None
johnament-DELTASPIKE-78,johnament-DELTASPIKE-782,None
johnament-fooba,johnament-foobar,None
johnament-hornetq-jms-issu,johnament-hornetq-jms-issue,None
johnktims-codege,johnktims-codegen,None
johnktims-querydsl-jpa-apt-i99,johnktims-querydsl-jpa-apt-i995,None
johnktims-spring-boot-sample-data-double-jp,johnktims-spring-boot-sample-data-double-jpa,None
johnktims-stash,johnktims-stash1,None
johnktims-stash,johnktims-stash2,None
jrrickard-unirest-jav,jrrickard-unirest-java,None
judasn-youmeekss,judasn-youmeekssh,None
karmanov-caffein,karmanov-caffeine,None
kckrinke-acr,kckrinke-acra,None
kiranreddykasa-camelcxfsampl,kiranreddykasa-camelcxfsample,None
kiranreddykasa-zigzagtax,kiranreddykasa-zigzagtaxi,None
kiselev-dv-osm-catalo,kiselev-dv-osm-catalog,None
kopelli-jenkins-hipchat-plugi,kopelli-jenkins-hipchat-plugin,None
kowsercse-hello-ga,kowsercse-hello-gae,None
kowsercse-hello-vfs,kowsercse-hello-vfs2,None
ksclarke-fcrepo-module-auth-xacm,ksclarke-fcrepo-module-auth-xacml,None
l800891-scribe-jav,l800891-scribe-java,None
lankeren-spar,lankeren-spark,None
lifehome-Bukki,lifehome-Bukkit,None
LisaMM-spring-eap6-quickstar,LisaMM-spring-eap6-quickstart,None
lkwg82-EasyFlo,lkwg82-EasyFlow,None
lkwg82-sonar-dev-maven-plugi,lkwg82-sonar-dev-maven-plugin,None
m09-classificatio,m09-classification,None
m09-link-detectio,m09-link-detection,None
markdowney-SpringSampl,markdowney-SpringSample,None
MartinMReed-atlassian-flak-plugi,MartinMReed-atlassian-flak-plugin,None
martoe-swagger-codege,martoe-swagger-codegen,None
mavarazy-jackson-module-jsonSchem,mavarazy-jackson-module-jsonSchema,None
max-pi-bluepil,max-pi-bluepill,None
medcl-elasticsearch-analysis-ans,medcl-elasticsearch-analysis-ansj,None
mfirry-spring-social-mis,mfirry-spring-social-miso,None
mgardellini-article-metadat,mgardellini-article-metadata,None
mgardellini-gelf,mgardellini-gelfj,None
mgardellini-guice-pipe,mgardellini-guice-pipes,None
mgardellini-jcr-po,mgardellini-jcr-poc,None
mgardellini-org-ap,mgardellini-org-api,None
mgardellini-quickstep-po,mgardellini-quickstep-poc,None
midlife83-GoogleKeepTestingProjec,midlife83-GoogleKeepTestingProject,None
midlife83-javalanch,midlife83-javalanche,None
morpig-SimpleSav,morpig-SimpleSave,None
Nailan-pavel.demeshchik.inf,Nailan-pavel.demeshchik.info,None
neo4j-examples-greenhous,neo4j-examples-greenhouse,None
neo4j-examples-imd,neo4j-examples-imdb,None
neo4j-examples-java-shop-categorie,neo4j-examples-java-shop-categories,None
netstart-collection-sorte,netstart-collection-sorter,None
nikelin-datanucleus-jdo-exampl,nikelin-datanucleus-jdo-example,None
niro273-leftchil,niro273-leftchild,None
niro273-mainprojec,niro273-mainproject,None
niro273-root,niro273-root1,None
niro273-root1_left_chil,niro273-root1_left_child,None
niro273-root1_left_lea,niro273-root1_left_leaf,None
niro273-root1_right_chil,niro273-root1_right_child,None
niro273-testin,niro273-testing,None
NKjoep-entando-archetype-plugin-generi,NKjoep-entando-archetype-plugin-generic,None
NKjoep-entando-core-engin,NKjoep-entando-core-engine,None
NKjoep-entando-plugins-paren,NKjoep-entando-plugins-parent,None
NotBadPad-hbase-solr-coprocesso,NotBadPad-hbase-solr-coprocessor,None
nuboat-FizzBuzzEnterpriseEditio,nuboat-FizzBuzzEnterpriseEdition,None
nuboat-GalaxyMonopol,nuboat-GalaxyMonopoly,None
nuboat-GameOfLif,nuboat-GameOfLife,None
obfischer-javaconfig-ap,obfischer-javaconfig-api,None
obfischer-jmxeva,obfischer-jmxeval,None
omalsa04-JavaVerbalExpression,omalsa04-JavaVerbalExpressions,None
omigo-vertx-mongo-exampl,omigo-vertx-mongo-example,None
optivo-org-fest-assert-2.,optivo-org-fest-assert-2.x,None
p000ison-Bukki,p000ison-Bukkit,None
p000ison-craftconomy,p000ison-craftconomy3,None
PatrickMcAfee-InfoSys-BankingApp,PatrickMcAfee-InfoSys-BankingApp2,None
paweln1986-GuavaStrngsTes,paweln1986-GuavaStrngsTest,None
paweln1986-testExceptio,paweln1986-testException,None
pdf4j-css-selector,pdf4j-css-selectors,None
peergum-slack-plugi,peergum-slack-plugin,None
penguinmenac3-java-cgli,penguinmenac3-java-cglib,None
penguinmenac3-MachineLearnin,penguinmenac3-MachineLearning,None
penguinmenac3-TeamNot,penguinmenac3-TeamNote,None
penguinmenac3-XJCP-Interfac,penguinmenac3-XJCP-Interface,None
pminervini-MAPServic,pminervini-MAPService,None
primitivorm-droid-f,primitivorm-droid-fu,None
Promichel-android-rs,Promichel-android-rss,None
Promichel-Bukki,Promichel-Bukkit,None
Promichel-SvnPa,Promichel-SvnPad,None
pyeonzi20c-android-sampl,pyeonzi20c-android-sample,None
qabbasi-BeanTes,qabbasi-BeanTest,None
qrwteyrutiyoup-galibie,qrwteyrutiyoup-galibier,None
