user,repo,repo_size,contributors,duration,status,timestamp,artifacts,failed_tests,total_tests,info_logs,warning_logs,memory_used,memory_total,resources,is_seq,slaves
544,jsfSampleCode,620,1,26639,UNSTABLE,1493595046933,0,1,13,123,0,23,55,7.0,FALSE,9
0x4E0x650x6F,jackson-core,1356,5,79923,SUCCESS,1493594938592,0,0,186,47,2,26,62,2.0,FALSE,9
0x4E0x650x6F,Spring-data-Sample,96,1,123888,UNSTABLE,1493594938933,0,6,6,1096,0,22,53,3.0,FALSE,9
0x4E0x650x6F,springIntegration-json,124,1,25549,UNSTABLE,1493594980651,0,2,4,192,0,22,52,2.0,FALSE,9
0x4E0x650x6F,spring-portal,104,1,41236,SUCCESS,1493594939297,0,0,6,582,13,24,57,2.0,FALSE,9
52North,ArcGIS-Server-SOS-Extension,1339,1,20413,FAILURE,1493595006291,0,0,0,276,1,12,30,,FALSE,9
52North,CSWLoDEnabler,397,2,28355,FAILURE,1493595018547,0,0,0,284,2,13,32,,FALSE,9
52North,FlickrMetaCrawlr,258,1,28572,SUCCESS,1493595026774,0,0,0,154,0,18,43,,FALSE,9
5db,ironman,168,1,57714,FAILURE,1493595055442,0,0,0,590,1,14,34,,FALSE,9
6a209,android-rss,64,3,22552,UNSTABLE,1493595062872,0,1,24,482,0,19,47,,FALSE,9
9apps,elasticsearch-cloudwatch,175,3,39621,SUCCESS,1493595073587,0,0,0,767,8,32,86,,FALSE,9
a289459798,thrift-java,289,1,17652,SUCCESS,1493595135343,0,0,1,64,2,19,51,,FALSE,9
aaruff,MultiClient,4459,1,9063,FAILURE,1493595757219,0,0,0,28,12,11,26,,FALSE,9
aaruff,MultiCommon,1465,1,13337,SUCCESS,1493595144081,0,0,0,60,0,16,44,,FALSE,9
aaruff,MultiServer,2506,1,9073,FAILURE,1493595756866,0,0,0,38,6,11,26,,FALSE,9
aauren,mule-transport-amqp,1373,9,565952,FAILURE,1493595157453,0,0,0,111,0,13,32,,FALSE,9
abhikc,jersey-passbook,122,1,26689,SUCCESS,1493595161635,0,0,6,464,23,30,85,2.0,FALSE,9
abid-khan,depth-wise-json-serializer,164,1,21704,SUCCESS,1493595188345,0,0,1,352,8,28,66,,FALSE,9
abid-khan,environment-specific-build,160,1,9947,FAILURE,1493595211819,0,0,0,18,0,11,26,,FALSE,9
abid-khan,learning,152,2,13870,SUCCESS,1493595221784,0,0,1,42,4,15,38,,FALSE,9
abid-khan,poc-spring-data-jpa-envers-integration,148,1,21986,UNSTABLE,1493595235680,0,2,2,200,0,24,58,,FALSE,9
abid-khan,spring-akka-email,136,1,19377,UNSTABLE,1493595257696,0,1,1,83,0,21,51,,FALSE,9
abid-khan,spring-hazelcast-integration,168,2,28985,FAILURE,1493595264440,0,0,0,740,3,20,55,3.0,FALSE,9
Acidity,Vanilla,10523,46,10421,FAILURE,1493595277094,0,0,0,29,2,10,23,,FALSE,9
a-covar,elasticsearch,80,113,340995,FAILURE,1493595085461,0,0,0,855,112,55,33,5.0,FALSE,9
ada87,xdbox,812,1,19349,SUCCESS,1493595287536,0,0,1,75,0,20,46,5.0,FALSE,9
adachic,msgpack-java,1344,5,57774,SUCCESS,1493595293468,0,0,990,1088,21,26,16,3.0,FALSE,9
